"","rank","game_id","min_players","max_players","avg_time","min_time","max_time","year","avg_rating","geek_rating","num_votes","age","owned","weight","catSplit_Exploration","catSplit_Fantasy","catSplit_Fighting","catSplit_Miniatures","catSplit_Economic","catSplit_Political","catSplit_Wargame","catSplit_Science Fiction","catSplit_Territory Building","catSplit_Card Game","catSplit_Medieval","catSplit_Dice","catSplit_Deduction","catSplit_Party Game","catSplit_Negotiation","catSplit_Real-time","catSplit_World War II","catSplit_Humor","mechSplit_Grid Movement","mechSplit_Hand Management","mechSplit_Modular Board","mechSplit_Simultaneous Action Selection","mechSplit_Point to Point Movement","mechSplit_Set Collection","mechSplit_Variable Player Powers","mechSplit_Card Drafting","mechSplit_Dice Rolling","mechSplit_Tile Placement","mechSplit_Area Movement","mechSplit_Route/Network Building","mechSplit_Worker Placement","mechSplit_Deck / Pool Building","mechSplit_Partnerships","mechSplit_Press Your Luck","mechSplit_Secret Unit Deployment","mechSplit_Pick-up and Deliver","mechSplit_Hex-and-Counter","mechSplit_Take That","mechSplit_Simulation"
"1",1,174430,1,4,150,90,150,2017,9.0131,8.52234,9841,12,18217,3.772,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",100,54043,2,2,30,30,30,2009,7.53554,7.41329,22311,12,30786,1.527,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1000,620,2,2,120,120,120,1993,7.32494,6.41838,1073,12,1565,2.7226,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",1001,71906,1,4,120,120,120,2013,7.11482,6.41799,1483,12,2269,3.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"6",1002,42124,1,2,60,60,60,2009,7.34472,6.41769,1081,10,2282,3.2697,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"7",1003,84,2,2,150,150,150,1982,7.51293,6.416,903,12,1884,3.4041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9",1005,3955,4,7,40,20,40,2002,6.54306,6.41472,21116,8,24402,1.6381,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"10",1006,1829,2,5,240,240,240,2001,6.70327,6.41454,6000,10,10050,2.7201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"11",1007,21954,3,5,120,120,120,2006,6.94692,6.41374,1782,13,2591,3.2751,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"12",1008,33451,2,4,45,45,45,2008,6.90818,6.41276,2277,13,4419,1.8229,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1009,56931,2,2,45,30,45,2009,6.93692,6.41223,1819,8,2595,1.9286,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"17",1012,23679,2,2,180,180,180,2008,7.41314,6.40918,941,12,1809,2.6319,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"18",1013,38386,2,4,60,60,60,2008,6.76616,6.40874,2729,10,2997,2.7993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"19",1014,195571,1,5,90,45,90,2016,7.36373,6.40856,1056,14,2717,2.6667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21",1016,92190,2,6,120,120,120,2011,6.92932,6.4076,2293,10,5099,2.7468,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"22",1017,37141,4,18,60,60,60,2008,7.50695,6.40742,857,13,1416,1.3171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23",1018,40209,1,2,300,300,300,2009,7.9805,6.40683,647,0,1778,3.2727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",1020,122240,2,6,90,90,90,2012,7.68448,6.40541,803,12,2187,2.6047,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"27",1021,10093,2,5,240,240,240,2004,6.70809,6.4054,5410,12,6895,3.2105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"28",1022,2808,2,2,360,360,360,1974,7.24522,6.40292,1230,12,2378,2.8728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"30",1024,986,2,2,60,45,60,2000,6.69936,6.40088,3366,12,5426,2.4018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",1026,237,2,2,60,60,60,1974,7.00348,6.39751,1747,12,3462,3.1282,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"33",1027,75476,3,4,120,120,120,2010,7.08192,6.39735,1335,12,1693,3.1374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"35",1029,171726,1,4,30,30,30,2016,7.80216,6.39605,709,12,1267,2.3913,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"37",1030,155255,2,5,120,60,120,2015,7.6534,6.39598,780,12,1903,3.5672,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"39",1032,36811,2,5,90,90,90,2008,6.99477,6.39406,1534,12,1671,3.1017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"41",1034,54361,2,2,60,60,60,2010,7.47244,6.39372,934,8,2398,2.4565,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",1035,111105,1,4,90,90,90,2012,7.07265,6.39329,1396,13,2836,2.5169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"45",1038,3931,3,5,120,120,120,2003,6.7486,6.39227,2935,10,3253,2.9912,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"47",104,176189,1,6,180,60,180,2015,7.86789,7.40954,6824,10,12646,2.5722,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"48",1040,9910,2,4,30,30,30,2005,6.98566,6.39072,1721,10,3059,1.7083,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50",1042,166857,3,6,120,90,120,2014,7.52603,6.39035,842,13,1402,2.8852,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"51",1043,2961,2,2,45,45,45,1992,7.12219,6.39032,1242,12,1829,2.4091,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"53",1045,63543,2,2,135,135,135,2010,7.0864,6.38997,1446,13,3674,3.723,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",1048,205597,2,4,30,10,30,2017,7.12402,6.38801,1294,13,2128,1.8788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",1050,165950,2,4,20,20,20,2014,6.85753,6.38663,2025,8,2941,1.4268,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60",1051,1568,2,4,120,120,120,1990,6.92889,6.38653,2217,10,3601,2.3045,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",1059,128442,2,4,180,180,180,2013,6.88571,6.38256,2378,14,4635,2.4667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",1060,21133,2,2,60,60,60,2005,8.09783,6.38222,598,12,1065,3.7436,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"71",1061,915,3,6,120,120,120,1995,6.54606,6.3808,6995,10,8517,2.2096,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",1062,102435,1,2,120,120,120,2013,7.99333,6.3805,585,12,1546,3.8375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",1064,24703,2,2,60,60,60,2007,6.97937,6.37867,1704,8,3762,2.0635,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",1066,43868,2,6,45,45,45,2009,6.61338,6.37761,4253,10,5084,1.6667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"78",1068,15818,2,7,20,20,20,2005,6.53291,6.37672,6938,8,9442,1.1537,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"79",1069,24742,2,2,60,30,60,2007,6.65976,6.37663,3512,12,5400,1.8624,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"80",107,104006,2,4,90,60,90,2011,7.55613,7.40425,15186,12,18873,3.0783,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"81",1070,15511,2,2,30,30,30,2005,6.71886,6.37646,2743,8,3051,1.7139,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"82",1071,168788,2,6,60,60,60,2015,7.17506,6.37555,1252,14,2938,2.2653,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"83",1072,65564,1,1,60,60,60,2010,7.92273,6.37518,645,12,1524,2.8261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"87",1076,41749,3,5,90,90,90,2009,7.51379,6.37275,767,14,1179,2.8529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"88",1077,32125,3,5,20,20,20,2007,6.59768,6.37271,4217,8,4750,1.3935,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"89",1078,201825,1,4,60,30,60,2017,7.38339,6.37256,982,12,2217,2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"91",108,148228,2,4,30,30,30,2014,7.51093,7.40278,35943,10,48579,1.8348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",1080,157026,1,4,30,30,30,2014,7.63958,6.37159,785,13,1472,2.1481,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"96",1084,32666,3,6,120,120,120,2008,6.93835,6.36935,1643,0,1676,3.6181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"97",1085,31105,2,4,20,20,20,2007,6.7016,6.36897,2869,8,3572,1.3463,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"99",1087,15953,1,2,45,45,45,2005,7.1538,6.36763,1284,8,2622,1.9651,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100",1088,25224,2,5,120,90,120,2006,6.92867,6.36728,1684,12,1914,3.177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"101",1089,35503,2,4,45,45,45,2009,6.75957,6.36721,2228,10,2073,1.7429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"104",1091,141736,3,4,60,60,60,2013,6.79811,6.36606,2122,14,4162,2.203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"105",1092,12477,3,6,120,120,120,2004,6.69506,6.36457,2975,14,4070,2.6193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",1095,196202,2,6,75,30,75,2017,8.03098,6.36301,612,14,1913,2.8571,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"109",1096,31552,2,4,45,45,45,2007,7.27926,6.36236,1030,0,1500,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"113",11,84876,2,4,90,30,90,2011,8.11505,7.9986,29230,12,40858,3.0278,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"117",1102,232832,2,5,45,30,45,2017,7.85187,6.35836,632,8,1223,1.5333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"118",1103,89910,1,4,40,40,40,2014,7.01161,6.35746,1494,13,2772,1.956,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"119",1104,28259,3,6,90,90,90,2007,6.59782,6.35576,4260,12,5953,2.0683,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",1107,171662,1,3,120,60,120,2015,7.5904,6.35522,758,14,1923,3.5185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"123",1108,17710,2,6,240,180,240,2005,6.75301,6.35499,2780,10,4707,3.0622,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"126",1110,925,8,24,60,60,60,1986,6.6333,6.35437,3942,8,3855,1.3881,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",1113,19526,2,4,90,60,90,2005,6.66739,6.35339,2997,10,3707,2.734,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"131",1115,67239,3,4,120,120,120,2010,6.86623,6.35237,1874,12,3440,2.6742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"132",1116,15839,2,2,120,120,120,2005,7.39662,6.35196,854,12,1142,3.2059,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"135",1119,85036,3,5,120,120,120,2010,6.91221,6.34917,1542,13,1995,2.9612,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"140",1123,123096,3,6,120,60,120,2012,6.66926,6.34752,2866,8,5139,2.7423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"141",1124,27627,2,6,90,90,90,2007,6.57339,6.34675,10205,13,15111,2.21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",1125,31759,2,6,120,120,120,2002,7.65386,6.34661,762,14,1916,3.527,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"143",1126,169416,1,4,120,120,120,2015,7.61832,6.34582,739,13,2371,3.1562,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"144",1127,73316,2,4,90,90,90,2010,7.03358,6.34575,1316,10,1466,2.9583,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"150",1132,114031,2,4,95,95,95,2012,6.80753,6.344,1900,12,2267,2.709,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"151",1133,39217,2,2,180,180,180,2011,7.58378,6.34358,756,0,1900,3.2946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"152",1134,153064,4,8,20,10,20,2014,6.74235,6.34276,2283,12,3877,1.2333,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"156",1138,17223,2,6,180,180,180,2005,6.62599,6.34084,4715,12,7161,3.4975,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"157",1139,232918,1,4,180,120,180,2017,7.63662,6.33934,1023,14,2811,3.0204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",1142,144239,2,6,60,30,60,2013,6.92111,6.33659,1526,13,2720,2.94,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"162",1143,22877,1,1,300,300,300,2008,7.7236,6.3363,723,12,2114,4.0299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",1145,8190,3,4,60,60,60,2003,6.76393,6.33626,2117,10,3101,2.7297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"165",1146,118536,1,6,90,90,90,2013,7.00553,6.33534,1382,13,2936,2.5432,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"168",1149,144826,2,4,15,15,15,2014,6.94621,6.33464,1498,14,3202,2.2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",115,10630,2,8,60,30,60,2004,7.53824,7.39056,20605,8,26032,2.277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"171",1151,13551,2,5,60,60,60,2004,6.68073,6.33428,2597,12,3773,2.5139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",1152,230080,2,4,40,20,40,2017,7.15297,6.33408,1100,7,1589,1.7188,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",1155,24310,2,4,45,45,45,2007,6.56877,6.33209,5439,13,7940,1.6647,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"177",1157,180592,2,4,90,90,90,2015,7.27323,6.33164,931,12,1654,2.9444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"178",1158,1442,2,2,300,300,300,1977,7.18159,6.33105,1070,12,2116,2.3819,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"181",1160,340,3,7,60,60,60,1999,6.62614,6.32935,3050,10,4293,1.5349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"182",1161,120217,3,6,90,90,90,2012,6.73728,6.3292,2413,13,3996,2.4135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",1163,42673,1,1,180,180,180,2011,7.76864,6.32839,653,12,1721,2.8118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"187",1166,128721,1,5,120,45,120,2016,7.7107,6.32751,675,14,1066,3.1333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"188",1167,172996,2,4,50,30,50,2015,7.19245,6.32735,1025,12,1736,2.5641,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"189",1168,25277,2,2,120,120,120,2009,7.43728,6.32669,789,12,1327,2.6328,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"190",1169,40760,2,5,60,60,60,2009,6.65669,6.32655,2521,9,2691,1.9104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"193",1171,5781,3,5,60,60,60,2003,6.9276,6.32511,1429,9,1739,2.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",1172,46255,2,2,50,50,50,2009,6.68303,6.32504,2404,10,2919,2.2113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"195",1173,58110,2,6,90,90,90,2009,7.03138,6.32409,1310,10,1745,2.3438,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",1175,187653,2,4,90,45,90,2016,7.34766,6.3236,872,10,1789,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"198",1176,8481,2,2,180,180,180,2005,7.17016,6.32354,1046,12,1639,2.9189,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"199",1177,41010,2,4,20,10,20,2009,6.75297,6.32346,2234,4,4134,1.1394,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"200",1178,98,2,5,180,180,180,1981,6.54992,6.32265,9125,12,12353,3.0338,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"202",118,233078,3,6,480,240,480,2017,9.06876,7.3819,1579,14,3227,4.1489,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
