"","rank","game_id","min_players","max_players","avg_time","min_time","max_time","year","avg_rating","geek_rating","num_votes","age","owned","weight","catSplit_Exploration","catSplit_Fantasy","catSplit_Fighting","catSplit_Miniatures","catSplit_Economic","catSplit_Political","catSplit_Wargame","catSplit_Science Fiction","catSplit_Territory Building","catSplit_Card Game","catSplit_Medieval","catSplit_Dice","catSplit_Deduction","catSplit_Party Game","catSplit_Negotiation","catSplit_Real-time","catSplit_World War II","catSplit_Humor","mechSplit_Grid Movement","mechSplit_Hand Management","mechSplit_Modular Board","mechSplit_Simultaneous Action Selection","mechSplit_Point to Point Movement","mechSplit_Set Collection","mechSplit_Variable Player Powers","mechSplit_Card Drafting","mechSplit_Dice Rolling","mechSplit_Tile Placement","mechSplit_Area Movement","mechSplit_Route/Network Building","mechSplit_Worker Placement","mechSplit_Deck / Pool Building","mechSplit_Partnerships","mechSplit_Press Your Luck","mechSplit_Secret Unit Deployment","mechSplit_Pick-up and Deliver","mechSplit_Hex-and-Counter","mechSplit_Take That","mechSplit_Simulation"
"1318",2184,3893,2,6,120,120,120,1992,7.24703,5.96687,403,12,669,2.619,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1319",2185,176803,3,6,45,30,45,2015,6.88814,5.96659,607,12,1313,2.0588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1323",2189,181960,2,5,45,45,45,2015,6.79415,5.96605,622,10,1194,1.5833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1324",219,105134,3,5,60,60,60,2011,7.53318,7.1808,6040,13,10436,2.6135,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1326",2191,177197,2,4,60,30,60,2015,7.10006,5.96549,464,8,791,2.6316,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1327",2192,17394,2,2,300,300,300,2006,7.63433,5.96539,317,12,1061,4.043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1331",2196,31954,2,2,360,360,360,2009,7.37943,5.96409,353,0,1176,2.6047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"1332",2197,15826,2,2,360,360,360,2005,7.54872,5.96404,317,12,765,4.3474,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1333",2198,127493,2,6,120,120,120,2012,7.72362,5.96397,326,12,758,2.6944,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1334",2199,58601,2,2,150,0,150,2011,8.2399,5.96386,220,0,989,3.6333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1336",220,8217,2,4,60,45,60,2004,7.28839,7.17821,19529,10,21044,2.2909,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1337",2200,124839,1,3,60,60,60,2012,7.93958,5.9635,273,12,667,2.4762,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"1340",2203,193840,2,8,60,60,60,2016,6.57142,5.96311,840,10,1579,2.3077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1343",2206,124668,2,5,90,60,90,2012,6.86546,5.96236,566,10,1207,2.4828,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1347",221,9217,2,4,60,45,60,2004,7.32521,7.17169,12858,10,10921,2.4736,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1348",2210,29285,1,2,22500,0,22500,2007,8.21402,5.96182,262,12,642,4.5821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1351",2213,22457,2,2,180,180,180,2006,6.74224,5.96177,724,12,1614,2.6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1352",2214,205907,2,2,90,90,90,2017,8.02589,5.96158,326,14,752,3.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1355",2217,196496,1,6,90,30,90,2016,7.92059,5.96054,289,0,929,3.1429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1357",2219,35669,2,2,300,300,300,2009,7.45617,5.96017,329,0,975,2.6304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1358",222,118,3,5,45,45,45,1992,7.33443,7.17167,12404,10,13662,2.3201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1361",2222,6281,3,6,60,45,60,2003,6.37378,5.95865,1189,8,1695,2.0759,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"1365",2226,92666,2,6,180,180,180,2013,6.95429,5.95807,496,13,1352,3.6531,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1367",2228,17651,2,2,300,300,300,2005,7.69879,5.95787,281,12,878,3.5962,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1368",2229,98242,2,5,60,60,60,2011,6.51308,5.95782,1064,13,2094,2.4545,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"1369",223,2653,2,4,60,45,60,1982,7.31963,7.16965,15097,8,21632,1.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"1370",2230,32838,2,8,240,240,240,2009,7.85054,5.95781,276,0,913,3.7778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1373",2233,109969,2,7,45,45,45,2012,6.67769,5.95755,678,8,1179,2.4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1374",2234,202755,2,4,45,30,45,2016,7.34012,5.95739,352,10,805,1.8571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1375",2235,179820,2,4,90,60,90,2015,7.42806,5.95727,371,9,1953,3.0625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1376",2236,71021,2,4,60,30,60,2010,6.33579,5.9569,1498,12,1937,2.0562,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1378",2238,2998,1,2,360,360,360,2001,7.25224,5.95622,392,12,1196,3.0159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1379",2239,6581,2,2,360,360,360,2003,8.08529,5.95618,240,16,937,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1380",224,191189,1,4,60,60,60,2016,8.09922,7.16663,2231,14,4211,2.8116,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1381",2240,32989,1,3,3600,3600,3600,2011,8.39783,5.95614,207,12,595,4.4048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"1382",2241,148291,3,3,25,25,25,2013,6.73674,5.95578,620,13,878,2.2069,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1383",2242,41003,2,4,15,15,15,2009,6.44094,5.95567,972,7,1443,1.2812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
